City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,belyy yar,53.6039,91.3903,53.49,76,0,6.71,RU,1692033935
84,vila franca do campo,37.7167,-25.4333,77.41,65,9,0.6,PT,1692033936
85,zhelezinka,53.54,75.3072,53.6,80,100,3.8,KZ,1692033936
86,al kharijah,25.4514,30.5464,93.02,19,0,10.92,EG,1692033936
87,grytviken,-54.2811,-36.5092,24.53,81,45,6.91,GS,1692033936
88,campoverde,-8.4753,-74.8058,80.29,59,87,4.09,PE,1692033937
89,chui,-33.6971,-53.4616,66.25,37,60,11.77,UY,1692033937
90,lompoc,34.6391,-120.4579,78.85,100,75,3.44,US,1692033937
91,trinidad,-14.8333,-64.9,76.98,53,75,9.22,BO,1692033938
92,papatowai,-46.5619,169.4708,37.67,85,12,6.02,NZ,1692033938
93,st. john's,47.5649,-52.7093,73.15,77,75,5.01,CA,1692033939
94,chernyshevskiy,63.0128,112.4714,56.89,99,100,3.58,RU,1692033727
95,crucecita,-28.95,-58.9833,74.52,22,76,5.7,AR,1692033939
96,macau,22.2006,113.5461,85.8,89,20,9.22,MO,1692033939
97,san agustin de valle fertil,-30.6335,-67.4682,75.83,16,51,6.85,AR,1692033940
98,hawaiian paradise park,19.5933,-154.9731,73.9,89,0,8.05,US,1692033940
99,coquimbo,-29.9533,-71.3436,61.92,75,61,5.68,CL,1692033650
100,edinburgh of the seven seas,-37.0676,-12.3116,53.83,74,64,11.52,SH,1692033929
101,wailua homesteads,22.0669,-159.378,79.59,84,40,14.97,US,1692033940
102,port alfred,-33.5906,26.891,60.19,80,60,5.01,ZA,1692033673
103,eyl,7.9803,49.8164,78.76,81,1,22.19,SO,1692033704
104,kapa'a,22.0752,-159.319,80.92,83,40,14.97,US,1692033941
105,kavaratti,10.5669,72.642,81.95,71,37,9.6,IN,1692033898
106,tbeng meanchey,13.8167,104.9667,76.19,97,100,3.42,KH,1692033941
107,karasburg,-28.0167,18.75,59.18,24,81,8.81,NA,1692033941
108,santa isabel,-23.3156,-46.2214,69.51,62,100,5.35,BR,1692033941
109,illapel,-31.6308,-71.1653,78.44,28,44,5.37,CL,1692033943
110,solleftea,63.1667,17.2667,67.86,66,96,7.4,SE,1692033927
111,rabo de peixe,37.8,-25.5833,76.51,73,20,10.36,PT,1692033943
112,tazovsky,67.4667,78.7,54.52,73,80,7.0,RU,1692033646
113,port moresby,-9.4431,147.1797,74.62,83,75,5.75,PG,1692033943
114,toamasina,-18.1667,49.3833,71.6,83,75,3.44,MG,1692033943
115,ciudad insurgentes,25.2625,-111.7753,89.76,39,0,3.53,MX,1692033943
116,petropavlovsk-kamchatsky,53.0452,158.6483,50.59,100,0,6.71,RU,1692033944
117,east london,-33.0153,27.9116,59.94,77,20,8.05,ZA,1692033944
118,flying fish cove,-10.4217,105.6791,76.68,83,75,12.66,CX,1692033944
119,kailua-kona,19.6406,-155.9956,80.6,74,20,5.01,US,1692033764
120,bamboo flat,11.7,92.7167,82.49,89,75,8.05,IN,1692033944
121,slavutych,51.5196,30.7343,79.2,58,86,2.51,UA,1692033944
122,kapuskasing,49.4169,-82.4331,68.09,56,75,14.97,CA,1692033945
123,alliance,40.9153,-81.1059,77.58,85,100,5.64,US,1692033930
124,punta arenas,-53.15,-70.9167,38.08,65,22,14.03,CL,1692033945
125,kingston,17.997,-76.7936,94.77,44,22,10.85,JM,1692033063
126,zhangjiakou shi xuanhua qu,40.6103,115.0447,72.91,77,2,3.83,CN,1692033945
127,kunduz,36.75,68.75,80.38,17,0,5.84,AF,1692033945
128,kruisfontein,-34.0033,24.7314,54.88,71,93,19.84,ZA,1692033673
129,zouerate,22.7187,-12.4521,112.89,5,0,20.49,MR,1692033682
130,dickinson,29.4608,-95.0513,101.01,58,40,8.05,US,1692033946
131,ust'-ilimsk,58.0006,102.6619,67.48,68,98,1.36,RU,1692033946
132,hamilton,39.1834,-84.5333,76.96,93,100,1.01,US,1692033705
133,ugoofaaru,5.6667,73.0,82.9,68,62,10.11,MV,1692033946
134,sosnovo-ozerskoye,52.5249,111.5418,58.48,77,46,2.33,RU,1692033946
135,severo-yeniseyskiy,60.3725,93.0408,55.18,99,100,0.65,RU,1692033946
136,murzuq,25.9155,13.9184,97.16,16,0,3.04,LY,1692033946
137,fort st. john,56.2499,-120.8529,64.29,59,75,13.8,CA,1692033929
138,takoradi,4.8845,-1.7554,78.57,76,98,12.19,GH,1692033947
139,galliano,29.4422,-90.2992,99.0,49,75,5.75,US,1692033947
140,ridder,50.355,83.5133,45.7,89,97,3.8,KZ,1692033947
141,santa cruz,-17.8,-63.1667,77.05,36,75,10.36,BO,1692033947
142,binhe,32.6883,112.8275,75.49,76,0,3.47,CN,1692033947
143,bengkulu,-3.8004,102.2655,76.46,84,99,4.68,ID,1692033947
144,asau,46.4333,26.4,79.72,42,0,0.38,RO,1692033948
145,keflavik,64.0049,-22.5624,58.91,72,40,13.8,IS,1692033948
146,invercargill,-46.4,168.35,36.01,88,91,1.01,NZ,1692033767
147,pader,3.05,33.2167,77.4,46,47,5.95,UG,1692033948
148,bucerias,20.75,-105.3333,89.98,70,75,4.61,MX,1692033948
149,mahibadhoo,3.7833,72.9667,82.83,73,21,8.84,MV,1692033948
150,bredasdorp,-34.5322,20.0403,48.13,80,63,5.39,ZA,1692033949
151,klaksvik,62.2266,-6.589,56.32,97,90,14.16,FO,1692033949
152,whitehorse,60.7161,-135.0538,56.17,63,20,11.99,CA,1692033949
153,katsuura,35.1333,140.3,80.37,91,58,14.54,JP,1692033949
154,odacho-oda,35.1833,132.5,78.66,90,100,10.63,JP,1692033949
155,abadeh,31.1608,52.6506,70.47,15,0,16.37,IR,1692033949
156,nova sintra,14.8667,-24.7167,76.51,79,78,13.11,CV,1692033950
157,yaren,-0.5472,166.916,80.4,78,100,5.14,NR,1692033715
158,tofol,5.3248,163.0078,82.35,75,28,3.94,FM,1692033950
159,la tuque,47.4334,-72.7824,68.25,68,100,6.91,CA,1692033950
160,new amsterdam,6.25,-57.5167,89.2,56,21,8.59,GY,1692033950
161,dunedin,-45.8742,170.5036,42.8,61,13,4.23,NZ,1692033950
162,hasaki,35.7333,140.8333,81.3,91,61,11.56,JP,1692033951
163,amga,60.8953,131.9608,59.04,99,100,3.38,RU,1692033951
164,vicuna,-30.0319,-70.7081,84.78,22,8,5.03,CL,1692033951
165,crane,31.3974,-102.3501,90.73,34,5,12.84,US,1692033951
166,taikang,46.8333,124.4167,70.12,88,10,6.93,CN,1692033951
167,alice springs,-23.7,133.8833,56.75,47,4,0.0,AU,1692033892
168,puerto armuelles,8.2833,-82.8667,84.18,82,100,5.01,PA,1692033694
169,magdagachi,53.45,125.8,58.39,98,78,2.91,RU,1692033952
170,laurentides,46.4334,-74.9826,65.71,63,100,7.07,CA,1692033952
171,morant bay,17.8815,-76.4093,85.62,71,27,14.63,JM,1692033952
172,westport,41.1415,-73.3579,85.08,67,78,1.01,US,1692033952
173,lebu,-37.6167,-73.65,55.45,80,100,4.97,CL,1692033657
174,taltal,-25.4,-70.4833,65.55,69,31,3.49,CL,1692033952
175,mbekenyera,-10.0,38.9833,74.23,68,100,7.49,TZ,1692033952
176,bel ombre,-4.6167,55.4167,78.64,83,20,14.97,SC,1692033952
177,west island,-12.1568,96.8225,76.98,78,40,14.97,CC,1692033953
178,monteagudo,-19.8167,-63.9833,81.1,35,1,5.79,BO,1692033953
179,guarapari,-20.6667,-40.4975,75.83,75,39,9.15,BR,1692033953
180,kirovo-chepetsk,58.5539,50.0399,69.31,65,99,3.87,RU,1692033953
181,tura,25.5198,90.2201,76.37,89,100,2.66,IN,1692033953
182,saipan,15.1355,145.701,83.1,100,40,10.36,MP,1692033953
183,portland,45.5234,-122.6762,91.74,44,0,10.36,US,1692033641
184,isafjordur,66.0755,-23.124,53.64,76,0,5.75,IS,1692033953
185,mount gambier,-37.8333,140.7667,37.83,95,0,3.78,AU,1692033953
186,egilsstadir,65.2653,-14.3948,58.91,55,0,13.8,IS,1692033954
187,san antonio de pale,-1.4014,5.6325,75.87,83,85,11.88,GQ,1692033954
188,sant antoni de portmany,38.9807,1.3036,86.38,68,20,7.0,ES,1692033954
189,fort bragg,35.139,-79.006,96.64,53,100,9.22,US,1692033954
190,guatire,10.4762,-66.5427,85.15,64,69,5.95,VE,1692033954
191,alofi,-19.0595,-169.9187,73.29,94,100,6.91,NU,1692033954
192,palikir - national government center,6.9248,158.1611,74.14,100,20,3.44,FM,1692033954
